Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2016-04-01 20:34:47,Running,,6.01,27:31,4:35,13.10,472.424194117647,0,,,
2016-03-28 12:24:00,Running,,7.79,49:54,6:24,9.37,615.0,134,,,2016-03-28-1224.gpx
2016-03-24 20:30:17,Cycling,,16.27,30:00,1:51,32.54,604.8,0,,,
2016-03-22 20:30:10,Running,,6.01,27:39,4:36,13.04,473.514217647059,0,,,
2016-03-16 21:08:17,Running,,6.72,30:41,4:34,13.14,527.547547058824,0,,,
2016-03-13 15:27:20,Running,,9.37,1:03:46,6:48,8.81,707.0,183,,,2016-03-13-1527.gpx
2016-03-12 18:10:32,Running,,11.75,57:52,4:56,12.18,863.0,109,,,2016-03-12-1810.gpx
2016-03-10 21:12:28,Running,,5.49,25:13,4:36,13.06,432.209523529412,0,,,
2016-03-02 20:29:02,Running,,8.69,40:19,4:38,12.93,687.419394117647,0,,,
2016-02-28 14:36:47,Running,,14.24,1:08:47,4:50,12.42,1149.0,308,,,2016-02-28-1436.gpx
2016-02-25 21:30:30,Cycling,,15.24,30:00,1:58,30.48,566.0,0,,,
2016-02-23 20:56:58,Running,,6.40,30:00,4:41,12.80,506.85,0,,"Cardio",
2016-02-18 21:16:46,Running,,9.03,41:39,4:37,13.01,722.212957598039,0,,,
2016-02-15 21:17:15,Running,,5.42,25:10,4:39,12.92,434.875611928105,0,,,
2016-02-13 15:07:11,Cycling,,14.98,30:00,2:00,29.96,433.849019607843,0,,,
2016-02-08 19:57:14,Running,,11.88,57:16,4:49,12.44,977.0,266,,"Bonne sensation #Running #parisbynight ",2016-02-08-1957.gpx
2016-01-31 11:08:25,Running,,18.16,2:20:02,7:43,7.78,1546.0,813,,"Trail blanc des Vosges 2016",2016-01-31-1108.gpx
2016-01-27 20:06:26,Running,,12.11,56:13,4:39,12.92,991.0,285,,"Session référence #running #ParisByNight",2016-01-27-2006.gpx
2016-01-24 13:38:49,Running,,12.71,1:04:00,5:02,11.91,1039.0,264,,,2016-01-24-1338.gpx
2016-01-20 21:01:26,Running,,5.01,25:05,5:00,11.98,396.792634835026,0,,"Cardio",
2016-01-13 21:23:42,Running,,7.42,40:00,5:23,11.13,578.403333333333,0,,,
2016-01-10 13:54:11,Running,,8.22,48:51,5:57,10.09,594.0,82,,,2016-01-10-1354.gpx
2016-01-09 13:46:51,Running,,12.16,58:44,4:50,12.42,892.0,111,,"---",2016-01-09-1346.gpx
2016-01-06 21:21:39,Rowing,,7.03,30:00,4:16,14.06,383.756944444445,0,,,
2016-01-04 20:40:40,Running,,4.33,20:13,4:40,12.85,347.930927083333,0,,,
2015-12-31 15:03:47,Running,,9.23,47:15,5:07,11.71,746.0,170,,,2015-12-31-1503.gpx
2015-12-30 14:46:10,Running,,11.73,59:26,5:04,11.84,940.0,190,,,2015-12-30-1446.gpx
2015-12-28 11:27:48,Running,,16.15,1:21:20,5:02,11.91,1301.0,281,,,2015-12-28-1127.gpx
2015-12-26 11:37:42,Running,,15.10,1:16:43,5:05,11.81,1174.0,125,,"Manque d'énergie ",2015-12-26-1137.gpx
2015-12-24 11:38:06,Running,,12.09,1:00:21,4:59,12.02,946.0,115,,"Beaucoup de vent ",2015-12-24-1138.gpx
2015-12-21 20:53:49,Running,,5.61,28:16,5:02,11.91,443.278233502538,0,,,
2015-12-20 13:06:06,Running,,12.47,57:09,4:35,13.08,904.0,113,,,2015-12-20-1306.gpx
