Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2012-08-25 19:49:41,Running,,11.37,1:02:02,5:27,11.00,956.0,168,,,2012-08-25-1949.gpx
2012-08-20 18:37:59,Running,,9.52,54:53,5:46,10.41,857.0,156,,,2012-08-20-1837.gpx
2012-08-12 19:30:19,Running,,12.50,1:03:00,5:02,11.90,1014.65466370558,0,,,
2012-08-09 10:35:49,Running,,10.00,54:00,5:24,11.11,801.175,0,,,
2012-08-06 10:20:11,Running,,13.00,1:10:00,5:23,11.14,1040.875,0,,,
2012-08-03 10:40:14,Running,,12.50,1:04:00,5:07,11.72,1008.72842639594,0,,,
2012-08-01 10:30:56,Running,,12.00,1:09:15,5:46,10.40,971.763108221477,0,,,
2012-07-29 19:00:16,Running,,10.00,58:00,5:48,10.34,810.185402684564,0,,,
2012-07-26 19:30:38,Running,,9.20,55:00,5:59,10.04,747.523070469799,0,,,
2012-07-23 19:23:15,Running,,11.10,1:06:00,5:57,10.09,901.432046979866,0,,,
2012-07-15 19:05:00,Running,,8.10,46:00,5:41,10.57,654.96396201729,0,,,
